Age,Sex,FirstName,LastName,HeightInches,WeightPounds,WakeupTime,SleepTime
70,Female,Jessica,Jones,65,193,9,21
63,Female,Mary,Williams,76,119,8,22
96,Female,Karen,Smith,94,196,14,28
82,Female,Patricia,Johnson,95,132,10,22
28,Female,Michael,Johnson,80,132,5,22
18,Female,Jennifer,Williams,77,116,6,26
82,Female,Patricia,Johnson,95,132,7,20
63,Female,Mary,Williams,76,119,13,25
80,Female,Charles,Rodriguez,73,221,13,27
18,Male,Sarah,Johnson,92,289,5,21
63,Male,David,Miller,79,203,12,20
18,Male,Sarah,Johnson,92,289,9,24
20,Male,Elizabeth,Rodriguez,86,183,9,28
25,Female,John,Brown,87,152,12,26
18,Male,Sarah,Johnson,92,289,5,28
82,Female,Patricia,Johnson,95,132,5,24
96,Female,Karen,Smith,94,196,10,25
25,Female,John,Brown,87,152,14,27
25,Female,John,Brown,87,152,9,20
18,Male,Joseph,Williams,72,258,12,26
96,Female,Karen,Smith,94,196,6,24
27,Female,Linda,Garcia,77,206,5,21
70,Female,Jessica,Jones,65,193,13,20
35,Male,Susan,Garcia,66,134,12,26
63,Male,David,Miller,79,203,14,25
32,Female,Nancy,Garcia,60,152,7,24
18,Female,Jennifer,Williams,77,116,13,28
52,Male,Thomas,Miller,88,193,6,24
66,Male,Robert,Brown,91,292,5,25
66,Male,Robert,Brown,91,292,7,22
18,Female,Jennifer,Williams,77,116,5,23
18,Male,Joseph,Williams,72,258,5,27
36,Female,William,Smith,90,121,6,21
63,Male,David,Miller,79,203,10,26
20,Male,Elizabeth,Rodriguez,86,183,7,20
70,Female,Jessica,Jones,65,193,8,28
32,Female,Nancy,Garcia,60,152,12,21
25,Female,John,Brown,87,152,5,26
63,Male,David,Miller,79,203,13,24
27,Female,Linda,Garcia,77,206,9,21
82,Female,Patricia,Johnson,95,132,7,28
63,Male,David,Miller,79,203,8,28
18,Male,Joseph,Williams,72,258,5,23
18,Female,Jennifer,Williams,77,116,10,23
22,Female,James,Garcia,91,233,9,23
28,Female,Michael,Johnson,80,132,7,20
25,Female,John,Brown,87,152,14,21
18,Female,Jennifer,Williams,77,116,9,24
71,Female,Daniel,Brown,89,226,12,28
96,Female,Karen,Smith,94,196,12,28
27,Female,Linda,Garcia,77,206,12,24
80,Female,Charles,Rodriguez,73,221,8,20
80,Female,Charles,Rodriguez,73,221,8,26
28,Female,Michael,Johnson,80,132,12,23
18,Male,Joseph,Williams,72,258,5,22
28,Female,Michael,Johnson,80,132,10,21
18,Male,Joseph,Williams,72,258,5,26
32,Female,Nancy,Garcia,60,152,6,25
25,Female,John,Brown,87,152,9,20
35,Male,Susan,Garcia,66,134,14,26
52,Male,Thomas,Miller,88,193,8,20
27,Female,Linda,Garcia,77,206,11,23
25,Female,John,Brown,87,152,13,24
28,Female,Michael,Johnson,80,132,12,28
25,Female,John,Brown,87,152,7,21
32,Female,Nancy,Garcia,60,152,13,27
18,Male,Joseph,Williams,72,258,8,23
96,Female,Karen,Smith,94,196,8,24
22,Female,James,Garcia,91,233,10,26
18,Female,Jennifer,Williams,77,116,6,26
20,Male,Elizabeth,Rodriguez,86,183,9,24
18,Male,Sarah,Johnson,92,289,11,28
63,Male,David,Miller,79,203,7,20
63,Female,Mary,Williams,76,119,13,25
18,Female,Jennifer,Williams,77,116,12,25
71,Female,Daniel,Brown,89,226,10,23
20,Male,Elizabeth,Rodriguez,86,183,13,24
80,Female,Charles,Rodriguez,73,221,9,20
36,Female,William,Smith,90,121,9,26
18,Female,Jennifer,Williams,77,116,13,25
96,Female,Karen,Smith,94,196,13,25
66,Male,Robert,Brown,91,292,5,20
22,Female,James,Garcia,91,233,8,25
36,Female,William,Smith,90,121,11,23
28,Female,Michael,Johnson,80,132,7,23
32,Female,Nancy,Garcia,60,152,10,22
52,Male,Thomas,Miller,88,193,8,27
63,Female,Mary,Williams,76,119,6,24
36,Female,William,Smith,90,121,12,21
70,Female,Jessica,Jones,65,193,14,27
96,Female,Karen,Smith,94,196,11,22
96,Female,Karen,Smith,94,196,13,26
20,Male,Elizabeth,Rodriguez,86,183,6,21
52,Male,Thomas,Miller,88,193,14,20
28,Female,Michael,Johnson,80,132,14,23
25,Female,John,Brown,87,152,10,21
71,Female,Daniel,Brown,89,226,12,22
27,Female,Linda,Garcia,77,206,13,24
25,Female,John,Brown,87,152,9,27
36,Female,William,Smith,90,121,11,22
35,Male,Susan,Garcia,66,134,8,27
28,Female,Michael,Johnson,80,132,10,24
96,Female,Karen,Smith,94,196,11,26
63,Male,David,Miller,79,203,7,21
80,Female,Charles,Rodriguez,73,221,9,22
52,Male,Thomas,Miller,88,193,7,25
63,Female,Mary,Williams,76,119,12,22
20,Male,Elizabeth,Rodriguez,86,183,11,22
18,Female,Jennifer,Williams,77,116,5,28
25,Female,John,Brown,87,152,8,25
70,Female,Jessica,Jones,65,193,13,21
35,Male,Susan,Garcia,66,134,8,21
63,Female,Mary,Williams,76,119,9,21
20,Male,Elizabeth,Rodriguez,86,183,6,26
63,Male,David,Miller,79,203,14,20
52,Male,Thomas,Miller,88,193,13,27
25,Female,John,Brown,87,152,12,25
80,Female,Charles,Rodriguez,73,221,6,25
80,Female,Charles,Rodriguez,73,221,6,26
66,Male,Robert,Brown,91,292,11,27
96,Female,Karen,Smith,94,196,11,26
80,Female,Charles,Rodriguez,73,221,14,22
18,Female,Jennifer,Williams,77,116,13,25
18,Male,Joseph,Williams,72,258,13,20
82,Female,Patricia,Johnson,95,132,12,22
63,Female,Mary,Williams,76,119,10,20
66,Male,Robert,Brown,91,292,7,28
70,Female,Jessica,Jones,65,193,8,23
18,Male,Joseph,Williams,72,258,6,27
35,Male,Susan,Garcia,66,134,9,25
63,Female,Mary,Williams,76,119,11,23
28,Female,Michael,Johnson,80,132,10,25
22,Female,James,Garcia,91,233,14,26
36,Female,William,Smith,90,121,5,21
18,Male,Joseph,Williams,72,258,13,25
82,Female,Patricia,Johnson,95,132,6,21
96,Female,Karen,Smith,94,196,13,24
63,Male,David,Miller,79,203,6,23
66,Male,Robert,Brown,91,292,5,25
27,Female,Linda,Garcia,77,206,5,28
22,Female,James,Garcia,91,233,8,23
63,Male,David,Miller,79,203,11,24
71,Female,Daniel,Brown,89,226,14,21
18,Female,Jennifer,Williams,77,116,10,21
22,Female,James,Garcia,91,233,7,22
27,Female,Linda,Garcia,77,206,7,28
18,Male,Sarah,Johnson,92,289,12,26
20,Male,Elizabeth,Rodriguez,86,183,14,24
96,Female,Karen,Smith,94,196,5,21
22,Female,James,Garcia,91,233,8,26
71,Female,Daniel,Brown,89,226,6,28
96,Female,Karen,Smith,94,196,9,27
52,Male,Thomas,Miller,88,193,10,23
66,Male,Robert,Brown,91,292,9,25
82,Female,Patricia,Johnson,95,132,13,21
18,Male,Joseph,Williams,72,258,13,25
96,Female,Karen,Smith,94,196,10,23
36,Female,William,Smith,90,121,12,26
82,Female,Patricia,Johnson,95,132,12,23
25,Female,John,Brown,87,152,7,23
20,Male,Elizabeth,Rodriguez,86,183,5,26
80,Female,Charles,Rodriguez,73,221,11,24
82,Female,Patricia,Johnson,95,132,13,21
63,Female,Mary,Williams,76,119,11,26
36,Female,William,Smith,90,121,12,25
96,Female,Karen,Smith,94,196,10,28
28,Female,Michael,Johnson,80,132,7,28
18,Female,Jennifer,Williams,77,116,6,24
27,Female,Linda,Garcia,77,206,12,25
52,Male,Thomas,Miller,88,193,12,21
28,Female,Michael,Johnson,80,132,11,25
32,Female,Nancy,Garcia,60,152,5,23
71,Female,Daniel,Brown,89,226,10,27
20,Male,Elizabeth,Rodriguez,86,183,5,28
66,Male,Robert,Brown,91,292,10,25
25,Female,John,Brown,87,152,9,23
20,Male,Elizabeth,Rodriguez,86,183,7,21
52,Male,Thomas,Miller,88,193,14,21
18,Female,Jennifer,Williams,77,116,13,22
63,Male,David,Miller,79,203,13,21
35,Male,Susan,Garcia,66,134,6,24
18,Female,Jennifer,Williams,77,116,6,27
63,Male,David,Miller,79,203,8,26
18,Male,Joseph,Williams,72,258,14,24
25,Female,John,Brown,87,152,14,21
18,Male,Joseph,Williams,72,258,5,27
36,Female,William,Smith,90,121,8,20
18,Female,Jennifer,Williams,77,116,13,22
18,Male,Joseph,Williams,72,258,13,27
20,Male,Elizabeth,Rodriguez,86,183,9,24
32,Female,Nancy,Garcia,60,152,9,27
32,Female,Nancy,Garcia,60,152,10,24
71,Female,Daniel,Brown,89,226,5,28
96,Female,Karen,Smith,94,196,11,25
63,Female,Mary,Williams,76,119,11,24
66,Male,Robert,Brown,91,292,6,23
71,Female,Daniel,Brown,89,226,8,26
20,Male,Elizabeth,Rodriguez,86,183,9,22
63,Male,David,Miller,79,203,14,27
82,Female,Patricia,Johnson,95,132,7,25
20,Male,Elizabeth,Rodriguez,86,183,7,21
63,Male,David,Miller,79,203,13,27
25,Female,John,Brown,87,152,6,24
66,Male,Robert,Brown,91,292,5,26
63,Male,David,Miller,79,203,13,20
52,Male,Thomas,Miller,88,193,11,28
18,Female,Jennifer,Williams,77,116,13,24
32,Female,Nancy,Garcia,60,152,10,24
27,Female,Linda,Garcia,77,206,5,28
18,Male,Joseph,Williams,72,258,5,27
18,Male,Joseph,Williams,72,258,8,24
63,Female,Mary,Williams,76,119,6,25
82,Female,Patricia,Johnson,95,132,10,20
18,Male,Joseph,Williams,72,258,6,28
32,Female,Nancy,Garcia,60,152,13,28
63,Female,Mary,Williams,76,119,5,26
18,Male,Joseph,Williams,72,258,14,23
18,Male,Sarah,Johnson,92,289,6,27
80,Female,Charles,Rodriguez,73,221,13,22
20,Male,Elizabeth,Rodriguez,86,183,7,22
63,Male,David,Miller,79,203,14,22
18,Male,Sarah,Johnson,92,289,10,25
63,Male,David,Miller,79,203,14,28
63,Female,Mary,Williams,76,119,14,26
70,Female,Jessica,Jones,65,193,12,23
63,Male,David,Miller,79,203,10,26
22,Female,James,Garcia,91,233,7,26
63,Female,Mary,Williams,76,119,13,22
18,Male,Sarah,Johnson,92,289,7,28
22,Female,James,Garcia,91,233,5,26
70,Female,Jessica,Jones,65,193,8,28
18,Male,Joseph,Williams,72,258,8,21
20,Male,Elizabeth,Rodriguez,86,183,6,28
35,Male,Susan,Garcia,66,134,11,28
71,Female,Daniel,Brown,89,226,7,25
18,Male,Sarah,Johnson,92,289,7,22
71,Female,Daniel,Brown,89,226,5,21
20,Male,Elizabeth,Rodriguez,86,183,8,21
25,Female,John,Brown,87,152,13,26
20,Male,Elizabeth,Rodriguez,86,183,14,28
63,Male,David,Miller,79,203,8,23
22,Female,James,Garcia,91,233,12,23
18,Male,Sarah,Johnson,92,289,14,26
70,Female,Jessica,Jones,65,193,7,23
22,Female,James,Garcia,91,233,5,24
22,Female,James,Garcia,91,233,13,24
63,Male,David,Miller,79,203,12,27
25,Female,John,Brown,87,152,6,23
36,Female,William,Smith,90,121,12,24
80,Female,Charles,Rodriguez,73,221,7,27
36,Female,William,Smith,90,121,6,24
25,Female,John,Brown,87,152,9,27
36,Female,William,Smith,90,121,6,27
71,Female,Daniel,Brown,89,226,13,27
96,Female,Karen,Smith,94,196,9,20
18,Male,Joseph,Williams,72,258,11,20
35,Male,Susan,Garcia,66,134,11,26
66,Male,Robert,Brown,91,292,14,27
66,Male,Robert,Brown,91,292,13,25
96,Female,Karen,Smith,94,196,8,27
70,Female,Jessica,Jones,65,193,14,22
25,Female,John,Brown,87,152,10,23
70,Female,Jessica,Jones,65,193,9,20
63,Female,Mary,Williams,76,119,13,21
25,Female,John,Brown,87,152,9,21
35,Male,Susan,Garcia,66,134,13,27
35,Male,Susan,Garcia,66,134,10,28
52,Male,Thomas,Miller,88,193,9,24
52,Male,Thomas,Miller,88,193,6,28
32,Female,Nancy,Garcia,60,152,6,24
36,Female,William,Smith,90,121,13,27
63,Female,Mary,Williams,76,119,9,22
28,Female,Michael,Johnson,80,132,10,28
70,Female,Jessica,Jones,65,193,14,25
96,Female,Karen,Smith,94,196,14,20
27,Female,Linda,Garcia,77,206,14,26
36,Female,William,Smith,90,121,11,23
36,Female,William,Smith,90,121,11,27
18,Male,Sarah,Johnson,92,289,14,26
18,Male,Sarah,Johnson,92,289,5,23
82,Female,Patricia,Johnson,95,132,6,24
18,Female,Jennifer,Williams,77,116,10,20
18,Male,Sarah,Johnson,92,289,13,28
52,Male,Thomas,Miller,88,193,13,21
18,Male,Joseph,Williams,72,258,13,23
25,Female,John,Brown,87,152,10,20
36,Female,William,Smith,90,121,5,26
63,Female,Mary,Williams,76,119,5,20
36,Female,William,Smith,90,121,8,23
80,Female,Charles,Rodriguez,73,221,8,26
71,Female,Daniel,Brown,89,226,12,21
71,Female,Daniel,Brown,89,226,9,20
25,Female,John,Brown,87,152,9,24
18,Female,Jennifer,Williams,77,116,10,28
52,Male,Thomas,Miller,88,193,11,24
71,Female,Daniel,Brown,89,226,14,22
32,Female,Nancy,Garcia,60,152,8,27
20,Male,Elizabeth,Rodriguez,86,183,11,26
25,Female,John,Brown,87,152,9,25
20,Male,Elizabeth,Rodriguez,86,183,6,27
52,Male,Thomas,Miller,88,193,9,20
32,Female,Nancy,Garcia,60,152,10,20
63,Male,David,Miller,79,203,13,23
25,Female,John,Brown,87,152,13,27
36,Female,William,Smith,90,121,13,24
20,Male,Elizabeth,Rodriguez,86,183,5,24
35,Male,Susan,Garcia,66,134,12,22
22,Female,James,Garcia,91,233,10,24
25,Female,John,Brown,87,152,14,20
71,Female,Daniel,Brown,89,226,10,21
18,Male,Joseph,Williams,72,258,6,27
96,Female,Karen,Smith,94,196,6,24
20,Male,Elizabeth,Rodriguez,86,183,13,23
28,Female,Michael,Johnson,80,132,5,26
32,Female,Nancy,Garcia,60,152,10,21
27,Female,Linda,Garcia,77,206,6,27
20,Male,Elizabeth,Rodriguez,86,183,11,23
66,Male,Robert,Brown,91,292,5,22
20,Male,Elizabeth,Rodriguez,86,183,14,27
70,Female,Jessica,Jones,65,193,12,25
66,Male,Robert,Brown,91,292,11,25
63,Male,David,Miller,79,203,11,28
66,Male,Robert,Brown,91,292,5,20
63,Male,David,Miller,79,203,9,22
32,Female,Nancy,Garcia,60,152,12,26
36,Female,William,Smith,90,121,9,23
18,Male,Joseph,Williams,72,258,5,27
66,Male,Robert,Brown,91,292,5,26
32,Female,Nancy,Garcia,60,152,8,26
63,Male,David,Miller,79,203,13,23
35,Male,Susan,Garcia,66,134,9,20
52,Male,Thomas,Miller,88,193,10,25
66,Male,Robert,Brown,91,292,6,22
71,Female,Daniel,Brown,89,226,13,21
80,Female,Charles,Rodriguez,73,221,13,25
35,Male,Susan,Garcia,66,134,14,21
70,Female,Jessica,Jones,65,193,11,26
71,Female,Daniel,Brown,89,226,5,22
18,Female,Jennifer,Williams,77,116,9,23
66,Male,Robert,Brown,91,292,7,22
28,Female,Michael,Johnson,80,132,12,23
27,Female,Linda,Garcia,77,206,8,21
52,Male,Thomas,Miller,88,193,8,26
35,Male,Susan,Garcia,66,134,5,25
71,Female,Daniel,Brown,89,226,13,23
32,Female,Nancy,Garcia,60,152,8,22
36,Female,William,Smith,90,121,6,26
35,Male,Susan,Garcia,66,134,12,22
71,Female,Daniel,Brown,89,226,14,22
18,Male,Joseph,Williams,72,258,6,28
70,Female,Jessica,Jones,65,193,13,27
28,Female,Michael,Johnson,80,132,9,24
28,Female,Michael,Johnson,80,132,14,28
18,Female,Jennifer,Williams,77,116,14,23
80,Female,Charles,Rodriguez,73,221,10,26
70,Female,Jessica,Jones,65,193,10,23
32,Female,Nancy,Garcia,60,152,6,27
66,Male,Robert,Brown,91,292,13,20
52,Male,Thomas,Miller,88,193,5,22
22,Female,James,Garcia,91,233,9,20
63,Female,Mary,Williams,76,119,12,24
96,Female,Karen,Smith,94,196,10,27
80,Female,Charles,Rodriguez,73,221,6,24
28,Female,Michael,Johnson,80,132,7,24
70,Female,Jessica,Jones,65,193,9,23
70,Female,Jessica,Jones,65,193,5,25
71,Female,Daniel,Brown,89,226,12,27
36,Female,William,Smith,90,121,9,26
18,Female,Jennifer,Williams,77,116,6,28
63,Female,Mary,Williams,76,119,5,21
35,Male,Susan,Garcia,66,134,14,27
28,Female,Michael,Johnson,80,132,5,25
35,Male,Susan,Garcia,66,134,6,27
36,Female,William,Smith,90,121,11,23
63,Male,David,Miller,79,203,13,25
22,Female,James,Garcia,91,233,7,23
25,Female,John,Brown,87,152,6,27
96,Female,Karen,Smith,94,196,6,21
63,Male,David,Miller,79,203,14,22
27,Female,Linda,Garcia,77,206,7,27
36,Female,William,Smith,90,121,6,24
28,Female,Michael,Johnson,80,132,13,27
18,Male,Sarah,Johnson,92,289,6,21
96,Female,Karen,Smith,94,196,8,21
22,Female,James,Garcia,91,233,5,27
96,Female,Karen,Smith,94,196,5,26
32,Female,Nancy,Garcia,60,152,11,25
32,Female,Nancy,Garcia,60,152,12,24
27,Female,Linda,Garcia,77,206,13,22
18,Male,Joseph,Williams,72,258,7,22
20,Male,Elizabeth,Rodriguez,86,183,9,21
18,Female,Jennifer,Williams,77,116,6,25
20,Male,Elizabeth,Rodriguez,86,183,12,23
80,Female,Charles,Rodriguez,73,221,12,22
96,Female,Karen,Smith,94,196,14,24
82,Female,Patricia,Johnson,95,132,11,27
22,Female,James,Garcia,91,233,13,20
27,Female,Linda,Garcia,77,206,11,27
82,Female,Patricia,Johnson,95,132,12,24
80,Female,Charles,Rodriguez,73,221,9,26
28,Female,Michael,Johnson,80,132,7,28
18,Male,Sarah,Johnson,92,289,5,28
36,Female,William,Smith,90,121,7,23
36,Female,William,Smith,90,121,11,22
82,Female,Patricia,Johnson,95,132,12,26
18,Male,Joseph,Williams,72,258,14,23
35,Male,Susan,Garcia,66,134,14,20
52,Male,Thomas,Miller,88,193,12,20
70,Female,Jessica,Jones,65,193,12,21
96,Female,Karen,Smith,94,196,13,23
20,Male,Elizabeth,Rodriguez,86,183,10,28
36,Female,William,Smith,90,121,12,23
52,Male,Thomas,Miller,88,193,5,27
36,Female,William,Smith,90,121,5,20
18,Male,Joseph,Williams,72,258,13,20
52,Male,Thomas,Miller,88,193,14,24
27,Female,Linda,Garcia,77,206,5,27
32,Female,Nancy,Garcia,60,152,10,20
71,Female,Daniel,Brown,89,226,11,26
20,Male,Elizabeth,Rodriguez,86,183,6,25
52,Male,Thomas,Miller,88,193,5,28
71,Female,Daniel,Brown,89,226,13,20
27,Female,Linda,Garcia,77,206,6,25
71,Female,Daniel,Brown,89,226,10,21
80,Female,Charles,Rodriguez,73,221,10,21
18,Male,Sarah,Johnson,92,289,9,20
28,Female,Michael,Johnson,80,132,7,23
82,Female,Patricia,Johnson,95,132,12,22
27,Female,Linda,Garcia,77,206,14,25
63,Male,David,Miller,79,203,12,26
35,Male,Susan,Garcia,66,134,13,27
82,Female,Patricia,Johnson,95,132,14,26
18,Male,Sarah,Johnson,92,289,8,26
63,Male,David,Miller,79,203,7,28
35,Male,Susan,Garcia,66,134,11,23
96,Female,Karen,Smith,94,196,5,25
18,Male,Joseph,Williams,72,258,8,27
18,Male,Sarah,Johnson,92,289,9,25
66,Male,Robert,Brown,91,292,9,20
71,Female,Daniel,Brown,89,226,12,24
18,Male,Sarah,Johnson,92,289,5,21
27,Female,Linda,Garcia,77,206,13,24
18,Male,Joseph,Williams,72,258,12,23
66,Male,Robert,Brown,91,292,9,20
66,Male,Robert,Brown,91,292,8,22
20,Male,Elizabeth,Rodriguez,86,183,13,27
22,Female,James,Garcia,91,233,6,28
66,Male,Robert,Brown,91,292,6,20
20,Male,Elizabeth,Rodriguez,86,183,10,23
80,Female,Charles,Rodriguez,73,221,11,23
52,Male,Thomas,Miller,88,193,8,27
71,Female,Daniel,Brown,89,226,8,26
63,Male,David,Miller,79,203,8,21
63,Female,Mary,Williams,76,119,11,26
18,Male,Joseph,Williams,72,258,10,24
18,Male,Sarah,Johnson,92,289,13,22
35,Male,Susan,Garcia,66,134,7,23
96,Female,Karen,Smith,94,196,9,26
63,Male,David,Miller,79,203,13,23
96,Female,Karen,Smith,94,196,11,21
18,Male,Sarah,Johnson,92,289,14,28
70,Female,Jessica,Jones,65,193,13,25
71,Female,Daniel,Brown,89,226,13,25
71,Female,Daniel,Brown,89,226,8,25
36,Female,William,Smith,90,121,13,21
63,Female,Mary,Williams,76,119,7,26
25,Female,John,Brown,87,152,9,28
63,Female,Mary,Williams,76,119,11,27
32,Female,Nancy,Garcia,60,152,5,28
96,Female,Karen,Smith,94,196,11,20
96,Female,Karen,Smith,94,196,7,27
28,Female,Michael,Johnson,80,132,12,27
20,Male,Elizabeth,Rodriguez,86,183,14,24
52,Male,Thomas,Miller,88,193,10,25
22,Female,James,Garcia,91,233,13,21
18,Male,Sarah,Johnson,92,289,14,28
35,Male,Susan,Garcia,66,134,5,21
63,Male,David,Miller,79,203,12,28
63,Male,David,Miller,79,203,7,23
32,Female,Nancy,Garcia,60,152,8,25
18,Male,Joseph,Williams,72,258,11,24
18,Male,Joseph,Williams,72,258,8,25
18,Male,Sarah,Johnson,92,289,12,28
52,Male,Thomas,Miller,88,193,12,21
18,Female,Jennifer,Williams,77,116,7,21
70,Female,Jessica,Jones,65,193,7,25
22,Female,James,Garcia,91,233,13,24
71,Female,Daniel,Brown,89,226,11,21
18,Male,Joseph,Williams,72,258,11,27
36,Female,William,Smith,90,121,14,24
28,Female,Michael,Johnson,80,132,13,26
63,Male,David,Miller,79,203,10,23
28,Female,Michael,Johnson,80,132,7,26
22,Female,James,Garcia,91,233,8,25
63,Female,Mary,Williams,76,119,10,23
66,Male,Robert,Brown,91,292,6,22
32,Female,Nancy,Garcia,60,152,11,26
25,Female,John,Brown,87,152,6,28
35,Male,Susan,Garcia,66,134,12,23
18,Male,Joseph,Williams,72,258,13,26
18,Male,Sarah,Johnson,92,289,9,27
18,Male,Sarah,Johnson,92,289,12,27
96,Female,Karen,Smith,94,196,7,21
96,Female,Karen,Smith,94,196,12,22
35,Male,Susan,Garcia,66,134,5,23
96,Female,Karen,Smith,94,196,6,24
71,Female,Daniel,Brown,89,226,13,27
82,Female,Patricia,Johnson,95,132,11,27
52,Male,Thomas,Miller,88,193,10,25
66,Male,Robert,Brown,91,292,10,28
70,Female,Jessica,Jones,65,193,7,23
82,Female,Patricia,Johnson,95,132,12,22
27,Female,Linda,Garcia,77,206,10,26
35,Male,Susan,Garcia,66,134,10,22
80,Female,Charles,Rodriguez,73,221,5,28
18,Female,Jennifer,Williams,77,116,6,22
52,Male,Thomas,Miller,88,193,12,22
63,Male,David,Miller,79,203,10,20
18,Male,Sarah,Johnson,92,289,13,23
22,Female,James,Garcia,91,233,13,25
22,Female,James,Garcia,91,233,8,27
71,Female,Daniel,Brown,89,226,5,24
27,Female,Linda,Garcia,77,206,11,27
70,Female,Jessica,Jones,65,193,6,23
71,Female,Daniel,Brown,89,226,13,27
66,Male,Robert,Brown,91,292,12,28
96,Female,Karen,Smith,94,196,9,28
25,Female,John,Brown,87,152,12,20
32,Female,Nancy,Garcia,60,152,12,26
80,Female,Charles,Rodriguez,73,221,6,21
52,Male,Thomas,Miller,88,193,7,20
70,Female,Jessica,Jones,65,193,7,25
18,Male,Joseph,Williams,72,258,10,26
96,Female,Karen,Smith,94,196,5,28
20,Male,Elizabeth,Rodriguez,86,183,14,23
25,Female,John,Brown,87,152,12,26
80,Female,Charles,Rodriguez,73,221,12,23
82,Female,Patricia,Johnson,95,132,8,23
27,Female,Linda,Garcia,77,206,12,28
18,Male,Sarah,Johnson,92,289,6,25
71,Female,Daniel,Brown,89,226,6,26
22,Female,James,Garcia,91,233,12,20
71,Female,Daniel,Brown,89,226,8,22
35,Male,Susan,Garcia,66,134,12,23
66,Male,Robert,Brown,91,292,13,25
82,Female,Patricia,Johnson,95,132,5,21
22,Female,James,Garcia,91,233,6,25
63,Male,David,Miller,79,203,14,21
25,Female,John,Brown,87,152,7,21
27,Female,Linda,Garcia,77,206,12,27
32,Female,Nancy,Garcia,60,152,10,22
18,Female,Jennifer,Williams,77,116,5,25
28,Female,Michael,Johnson,80,132,11,28
82,Female,Patricia,Johnson,95,132,8,21
36,Female,William,Smith,90,121,5,27
96,Female,Karen,Smith,94,196,7,21
18,Female,Jennifer,Williams,77,116,7,23
18,Female,Jennifer,Williams,77,116,14,24
25,Female,John,Brown,87,152,8,23
